
Test: 0

 Remove : 
     Ñartesian                   AVL 
8)      7.69e-05              7.9e-06
9)      7.73e-05              7.7e-06
10)      7.87e-05              8.7e-06
11)      7.67e-05              8.1e-06
12)      7.76e-05              7.7e-06
13)      0.0001722              1.68e-05
14)      7.66e-05              7.6e-06
15)      7.7e-05              7.6e-06
16)      0.0001741              1.67e-05
17)      7.65e-05              7.6e-06
18)      7.77e-05              8e-06
19)      7.65e-05              7.6e-06
20)      7.73e-05              7.6e-06
21)      0.0001726              1.69e-05
22)      7.66e-05              7.6e-06
23)      7.86e-05              7.8e-06
24)      7.84e-05              7.7e-06
25)      0.0001168              1.52e-05
26)      7.73e-05              7.8e-06
27)      7.75e-05              7.8e-06
28)      7.72e-05              7.6e-06
29)      7.72e-05              7.6e-06
30)      7.68e-05              7.7e-06
31)      7.76e-05              7.5e-06
32)      8.01e-05              7.8e-06
33)      7.69e-05              7.7e-06
34)      7.78e-05              7.7e-06
35)      0.0001713              1.68e-05
36)      7.82e-05              7.6e-06
37)      7.79e-05              7.7e-06
38)      0.0001714              1.67e-05
39)      7.73e-05              7.6e-06
40)      7.65e-05              7.7e-06
41)      8.1e-05              7.6e-06
42)      7.64e-05              7.5e-06
43)      7.64e-05              8e-06
44)      7.67e-05              8e-06
45)      7.8e-05              7.7e-06
46)      8.12e-05              7.6e-06
47)      7.7e-05              7.7e-06
48)      7.72e-05              7.6e-06
49)      7.79e-05              7.6e-06
50)      7.65e-05              7.6e-06

Test: 2

 Remove : 
     Ñartesian                   AVL 
1)      7.8e-05              8.1e-06
2)      8.02e-05              8e-06
3)      0.0001715              1.68e-05
4)      7.79e-05              8.1e-06
5)      0.0001722              1.7e-05
6)      7.78e-05              7.5e-06
7)      7.73e-05              7.6e-06
8)      7.69e-05              7.6e-06
9)      7.73e-05              7.6e-06
10)      8.07e-05              7.7e-06
11)      7.74e-05              7.6e-06
12)      7.9e-05              7.6e-06
13)      8.74e-05              9.5e-06
14)      0.0001725              1.69e-05
15)      8.02e-05              7.9e-06
16)      7.72e-05              7.6e-06
17)      0.0001724              1.71e-05
18)      7.72e-05              7.6e-06
19)      7.66e-05              1e-05
20)      7.99e-05              7.5e-06
21)      7.69e-05              7.6e-06
22)      7.75e-05              7.7e-06
23)      7.84e-05              7.7e-06
24)      7.77e-05              7.7e-06
25)      7.72e-05              7.7e-06
26)      8.25e-05              7.8e-06
27)      7.7e-05              7.9e-06
28)      0.0001718              1.67e-05
29)      7.63e-05              7.5e-06
30)      7.71e-05              7.6e-06
31)      0.0001728              1.7e-05
32)      7.92e-05              7.5e-06
33)      7.98e-05              7.7e-06
34)      7.69e-05              7.6e-06
35)      7.83e-05              7.7e-06
36)      7.67e-05              7.6e-06
37)      7.77e-05              7.6e-06
38)      7.7e-05              7.7e-06

Test: 0

 Remove : 
     Ñartesian                   AVL 
1)      7.73e-05              7.6e-06
2)      0.0001092              7.6e-06
3)      7.69e-05              8e-06
4)      7.7e-05              7.6e-06
5)      7.75e-05              7.8e-06
6)      7.69e-05              7.5e-06
7)      7.75e-05              8.7e-06
8)      7.73e-05              7.9e-06
9)      7.68e-05              7.6e-06
10)      7.7e-05              7.6e-06
11)      7.71e-05              7.6e-06
12)      7.76e-05              7.6e-06
13)      7.73e-05              7.6e-06
14)      0.0001748              1.68e-05
15)      0.0001262              7.5e-06
16)      7.73e-05              7.6e-06
17)      7.78e-05              7.6e-06
18)      7.86e-05              7.6e-06
19)      7.74e-05              7.5e-06
20)      7.69e-05              7.7e-06
21)      7.73e-05              7.9e-06
22)      7.82e-05              7.6e-06
23)      7.69e-05              7.9e-06
24)      7.71e-05              7.6e-06
25)      8.13e-05              8.2e-06
26)      7.81e-05              7.7e-06
27)      7.77e-05              7.5e-06
28)      0.0001109              7.8e-06
29)      7.73e-05              8.8e-06
30)      7.69e-05              8e-06
31)      7.74e-05              7.8e-06
32)      7.66e-05              7.7e-06
33)      7.85e-05              7.5e-06
34)      7.85e-05              7.6e-06
35)      7.68e-05              7.6e-06
36)      7.67e-05              7.6e-06
37)      7.73e-05              9.7e-06
38)      7.71e-05              7.8e-06
39)      8.19e-05              8.5e-06
40)      7.78e-05              7.6e-06
41)      7.76e-05              7.9e-06
42)      7.7e-05              7.7e-06
43)      0.0001153              7.5e-06
44)      7.71e-05              7.7e-06
45)      7.72e-05              7.7e-06
46)      7.72e-05              7.9e-06
47)      0.0001716              1.67e-05
48)      7.65e-05              7.7e-06
49)      7.74e-05              7.9e-06
50)      7.79e-05              7.9e-06

Test: 1

 Remove : 
     Ñartesian                   AVL 
1)      0.0001716              1.68e-05
2)      7.69e-05              7.7e-06
3)      7.81e-05              7.7e-06
4)      0.000237              2.35e-05
5)      7.7e-05              7.6e-06
6)      7.67e-05              7.7e-06
7)      7.69e-05              7.6e-06
8)      7.74e-05              7.6e-06
9)      7.66e-05              8e-06
10)      7.69e-05              7.5e-06
11)      7.7e-05              7.6e-06
12)      7.72e-05              7.9e-06
13)      7.71e-05              7.6e-06
14)      7.7e-05              7.6e-06
15)      7.74e-05              7.9e-06
16)      7.71e-05              7.6e-06
17)      0.0001735              1.69e-05
18)      7.66e-05              7.5e-06
19)      7.68e-05              7.5e-06
20)      7.75e-05              7.5e-06
21)      7.73e-05              7.6e-06
22)      7.77e-05              7.6e-06
23)      0.0001099              7.9e-06
24)      7.66e-05              7.6e-06
25)      8.05e-05              7.6e-06
26)      7.81e-05              7.8e-06
27)      7.76e-05              7.5e-06
28)      7.78e-05              7.6e-06
29)      7.69e-05              7.9e-06
30)      7.7e-05              7.7e-06
31)      7.69e-05              7.6e-06
32)      8e-05              7.7e-06
33)      8.04e-05              7.7e-06
34)      7.7e-05              7.9e-06
35)      7.69e-05              8e-06
36)      7.78e-05              7.7e-06
37)      7.67e-05              7.5e-06
38)      8.01e-05              7.6e-06
39)      7.7e-05              8e-06
40)      7.66e-05              7.5e-06
41)      0.0001398              9e-06
42)      7.76e-05              7.6e-06
43)      0.0001764              1.69e-05
44)      7.7e-05              7.7e-06
45)      7.84e-05              7.6e-06
46)      7.71e-05              7.6e-06
47)      7.69e-05              7.6e-06
48)      7.8e-05              7.5e-06
49)      8e-05              8.1e-06
50)      7.75e-05              7.7e-06

Test: 2

 Remove : 
     Ñartesian                   AVL 
1)      7.71e-05              7.6e-06
2)      7.8e-05              7.5e-06
3)      7.67e-05              7.6e-06
4)      7.75e-05              7.5e-06
5)      7.73e-05              7.7e-06
6)      7.71e-05              7.5e-06
7)      7.69e-05              7.6e-06
8)      7.66e-05              7.7e-06
9)      8.19e-05              8.7e-06
10)      7.75e-05              7.6e-06
11)      7.66e-05              7.6e-06
12)      7.66e-05              8.1e-06
13)      7.65e-05              7.7e-06
14)      7.7e-05              7.6e-06
15)      7.82e-05              8.5e-06
16)      7.76e-05              7.6e-06
17)      0.0001374              7.7e-06
18)      7.99e-05              8e-06
19)      7.65e-05              7.7e-06
20)      7.83e-05              7.8e-06
21)      9.7e-05              7.9e-06
22)      7.71e-05              7.6e-06
23)      7.79e-05              7.9e-06
24)      7.75e-05              8e-06
25)      7.82e-05              7.9e-06
26)      7.69e-05              7.6e-06
27)      7.72e-05              7.6e-06
28)      7.72e-05              7.6e-06
29)      7.75e-05              7.9e-06
30)      0.0001763              1.7e-05
31)      7.7e-05              7.7e-06
32)      7.73e-05              7.6e-06
33)      7.75e-05              8.1e-06
34)      7.66e-05              7.6e-06
35)      7.7e-05              7.9e-06
36)      7.67e-05              7.6e-06
37)      7.81e-05              7.7e-06
38)      7.76e-05              7.6e-06
39)      7.69e-05              7.8e-06
40)      7.77e-05              7.7e-06
41)      8.01e-05              8.4e-06
42)      7.71e-05              7.9e-06
43)      7.67e-05              7.6e-06
44)      7.74e-05              7.7e-06
45)      7.68e-05              7.8e-06
46)      7.81e-05              7.6e-06
47)      7.71e-05              7.7e-06
48)      7.66e-05              7.6e-06
