
Test: 0

Depth: 
     Ñartesian                                  AVL
42)     31                      14
43)     27                      14
44)     26                      13
45)     28                      13
46)     28                      13
47)     27                      14
48)     24                      13
49)     32                      14
50)     30                      13

Test: 3

Depth: 
     Ñartesian                                  AVL
1)     31                      14
2)     29                      15
3)     31                      15
4)     38                      15
5)     28                      15
6)     28                      15
7)     30                      15
8)     27                      14
9)     32                      15
10)     29                      15
11)     32                      15
12)     31                      15
13)     29                      15
14)     30                      15
15)     30                      15
16)     32                      15
17)     33                      15
18)     30                      15
19)     29                      15
20)     29                      15
21)     30                      15
22)     31                      15
23)     32                      15
24)     28                      15
25)     36                      15
26)     32                      15
27)     30                      15
28)     27                      15
29)     28                      15
30)     28                      15
31)     29                      15
32)     34                      15
33)     30                      15
34)     30                      15
35)     33                      15
36)     30                      15
37)     32                      15
38)     33                      15
39)     31                      15
40)     33                      15
41)     31                      15
42)     33                      15
43)     27                      15
44)     29                      15
45)     29                      15
46)     37                      15
47)     31                      15
48)     37                      15
49)     30                      15
50)     34                      15

Test: 4

Depth: 
     Ñartesian                                  AVL
1)     34                      16
2)     32                      16
3)     38                      16
4)     32                      16
5)     34                      16
6)     32                      16
7)     33                      16
8)     29                      16
9)     31                      16
10)     33                      16
11)     31                      16
12)     32                      16
13)     33                      16
14)     32                      16
15)     30                      16
16)     32                      16
17)     31                      16
18)     34                      16
19)     32                      16
20)     33                      16
21)     32                      16
22)     33                      16
23)     32                      16
24)     33                      16
25)     32                      16
26)     37                      16
27)     30                      16
28)     31                      16
29)     33                      16
30)     36                      16
31)     37                      16
32)     31                      16
33)     31                      16
34)     33                      16
35)     33                      16
36)     31                      16
37)     31                      16
38)     30                      16
39)     38                      16
40)     32                      16
41)     32                      16
42)     33                      16
43)     34                      16
44)     37                      16
45)     29                      16
46)     31                      16
47)     33                      16
48)     32                      16
49)     33                      16
50)     33                      16

Test: 5

Depth: 
     Ñartesian                                  AVL
1)     38                      17
2)     36                      17
3)     37                      17
4)     39                      17
5)     35                      17
6)     42                      17
7)     34                      17
8)     34                      17
9)     36                      17
10)     35                      17
11)     37                      17
12)     34                      17
13)     33                      17
14)     34                      17
15)     37                      17
16)     37                      17
17)     35                      17
18)     36                      17
19)     34                      17
20)     37                      17
21)     35                      17
22)     37                      17
23)     39                      17
24)     37                      17
25)     36                      17
26)     37                      17
27)     38                      17
28)     37                      17
29)     39                      17
30)     37                      17
31)     36                      17
32)     38                      17
33)     33                      17
34)     34                      17
35)     35                      17
36)     35                      17
37)     32                      17
38)     35                      17
39)     35                      17
40)     36                      17
41)     36                      17
42)     40                      17
43)     33                      17
44)     37                      17
45)     34                      17
46)     37                      17
47)     40                      17
48)     35                      17
49)     34                      17
50)     39                      17

Test: 6

Depth: 
     Ñartesian                                  AVL
1)     39                      18
2)     40                      18
3)     38                      18
4)     36                      18
5)     39                      18
6)     40                      18
7)     40                      18
8)     36                      17
9)     41                      18
10)     41                      18
11)     37                      18
12)     39                      18
13)     38                      18
14)     42                      18
15)     38                      18
16)     45                      18
17)     44                      18
18)     40                      18
19)     37                      18
20)     41                      17
21)     39                      18
22)     38                      18
23)     41                      18
24)     37                      18
25)     40                      18
26)     41                      18
27)     42                      18
28)     41                      18
29)     43                      18
30)     38                      17
31)     38                      18
32)     37                      18
33)     37                      17
