
Test: 0

Search: 
     Ñartesian                      AVL
21)     6.85e-05           6.65e-05
22)     6.15e-05           6.33e-05
23)     0.0001888           0.0001548
24)     6.17e-05           5.85e-05
25)     6.03e-05           5.86e-05
26)     6.18e-05           5.85e-05
27)     6.18e-05           5.85e-05
28)     6.15e-05           5.86e-05
29)     6.15e-05           6.07e-05
30)     6.31e-05           6.15e-05
31)     6.01e-05           5.84e-05
32)     5.97e-05           5.86e-05
33)     6.31e-05           5.96e-05
34)     6.17e-05           5.85e-05
35)     6e-05           5.83e-05
36)     5.79e-05           5.29e-05
37)     6.11e-05           6.01e-05
38)     6.32e-05           5.96e-05
39)     6.05e-05           5.87e-05
40)     6.02e-05           5.82e-05
41)     6.13e-05           5.83e-05
42)     6.32e-05           5.96e-05
43)     6.38e-05           5.84e-05
44)     6.15e-05           5.85e-05
45)     6.17e-05           5.85e-05
46)     6.37e-05           5.85e-05
47)     6.16e-05           5.88e-05
48)     6.15e-05           5.84e-05
49)     6.18e-05           6.1e-05
50)     6.15e-05           5.85e-05

Test: 1

Search: 
     Ñartesian                      AVL
1)     6.34e-05           6.2e-05
2)     0.0001351           0.0001315
3)     6.18e-05           6.19e-05
4)     0.0001419           0.0001322
5)     6.16e-05           5.84e-05
6)     6.16e-05           5.86e-05
7)     6.16e-05           5.85e-05
8)     0.00014           0.0001315
9)     5.97e-05           5.83e-05
10)     6.12e-05           5.82e-05
11)     6.15e-05           5.84e-05
12)     6.03e-05           5.84e-05
13)     6.34e-05           5.84e-05
14)     0.0001494           0.0001359
15)     6.3e-05           5.97e-05
16)     6.04e-05           5.85e-05
17)     0.0001377           0.000131
18)     6.18e-05           5.85e-05
19)     6.35e-05           6.3e-05
20)     6.14e-05           5.84e-05
21)     6.16e-05           5.85e-05
22)     6.28e-05           5.84e-05
23)     6.03e-05           6.2e-05
24)     6.04e-05           5.85e-05
25)     6.01e-05           5.95e-05
26)     6.17e-05           5.85e-05
27)     6.31e-05           5.97e-05
28)     6.01e-05           5.85e-05
29)     6.15e-05           5.85e-05
30)     6.4e-05           5.92e-05
31)     6.2e-05           5.86e-05
32)     6.15e-05           5.86e-05
33)     6.13e-05           5.85e-05
34)     5.63e-05           5.57e-05
35)     6.31e-05           5.86e-05
36)     6.13e-05           5.83e-05
37)     6.17e-05           5.82e-05
38)     6.02e-05           5.85e-05
39)     6.16e-05           5.85e-05
40)     6.02e-05           6.21e-05
41)     6.15e-05           5.84e-05
42)     6.17e-05           6.1e-05
43)     6.14e-05           5.91e-05
44)     6.14e-05           5.88e-05
45)     6.17e-05           5.85e-05
46)     6.02e-05           5.87e-05
47)     6.16e-05           5.82e-05
48)     6.15e-05           5.85e-05
49)     6.19e-05           5.98e-05
50)     6.27e-05           6.33e-05

Test: 2

Search: 
     Ñartesian                      AVL
1)     6.33e-05           5.97e-05
2)     0.0001383           0.0001315
3)     6.18e-05           5.86e-05
4)     6.19e-05           5.85e-05
5)     6.28e-05           5.82e-05
6)     0.0001425           0.0001381
7)     0.0001176           6.09e-05
8)     6.16e-05           5.86e-05
9)     6.18e-05           6.04e-05
10)     0.0001379           0.000131
11)     6.03e-05           5.85e-05
12)     6.15e-05           5.86e-05
13)     6.03e-05           5.85e-05
14)     6.36e-05           5.97e-05
15)     6.16e-05           5.85e-05
16)     6.03e-05           5.86e-05
17)     6.16e-05           6.08e-05
18)     0.0001385           7.79e-05
